id,latitude,longitude,elevation,country,name,state,21-Mar,21-Jun,21-Sep,21-Dec
KG000036982,41.883,78.233,3639,KG,TIAN-SHAN,,-4.347619048,9.648780488,6.636585366,-12.34634146
KG000038345,42.517,72.217,1218,KG,TALAS,,11.69117647,28.67931034,22.3,3.653125
KG000038353,42.83,74.58,756,KG,BISHKEK,,12.012,29.52328767,23.20410959,2.772
KG000038609,40.133,70.6,873,KG,ISFARA,,11.64,31.66,25.57,4.394117647
KG000038613,40.917,72.95,765,KG,DZHALAL-ABAD,,15.05957447,33.00588235,27.34791667,4.824489796
KG000038615,40.533,72.8,875,KG,OSH,,11.48333333,32.77272727,26.73125,4.088235294
KG000038616,40.6,72.9,866,KG,KARA-SUU,,14.35263158,32.81666667,25.37333333,4.658823529
KNM00047014,41.783,126.883,331,KN,CHUNGGANG,,7.047058824,26.3255814,20.704,-7.295348837
KNM00047016,41.4,128.167,714,KN,HYESAN,,5.688679245,25.31914894,19.28039216,-7.404166667
KNM00047025,40.667,129.2,23,KN,KIMCHAEK/SONGJIN,,7.006,20.58780488,22.11276596,3.493333333
KNM00047035,40.1,124.383,7,KN,SINUIJU,,9.644230769,25.24313725,23.94807692,0.038
KNM00047055,39.183,127.433,36,KN,WONSAN,,9.070212766,24,22.48113208,4.329411765
KNM00047058,39.224,125.67,35.7,KN,PYONGYANG INTL,,10.76666667,27.45384615,23.74909091,1.416
